Brand Name,,,Product Ratings,Number of ratings,,Selling Price,Original Price
Rain & Rainbow,,,4.2,28,,837,1395
HERE&NOW,,,4.2,805,,719,1799
Anouk,,,4.2,2800,,594,1699
Anubhutee,,,4.3,1100,,521,1739
GERUA,,,4.2,157,,449,1499
Rain & Rainbow,,,4.4,88,,877,1595
ZNX Clothing,,,3.9,753,,698,2199
HERE&NOW,,,4.1,482,,545,1299
Anouk,,,4.3,102,,559,1599
Anubhutee,,,4.3,477,,591,1739
Anubhutee,,,4.4,480,,521,1739
antaran,,,3.7,167,,742,1649
DIVYANK,,,4.3,538,,559,1999
GERUA,,,4.1,2300,,329,1099
HERE&NOW,,,4.2,402,,604,1099
Libas,,,4.3,153,,599,1499
Pistaa,,,4.1,271,,649,1799
GERUA,,,4.6,98,,449,1499
Saree Swarg,,,3.9,62,,855,2250
Rain & Rainbow,,,4.5,135,,877,1595
Anubhutee,,,4.2,456,,591,1739
Anouk,,,4.3,244,,639,1599
HERE&NOW,,,4.3,35,,519,1299
Rain & Rainbow,,,4.4,80,,822,1495
Anouk,,,4,97,,524,1499
MALHAAR,,,4.4,55,,687,1349
Anubhutee,,,4.3,1500,,521,1739
PANIT,,,4.1,1200,,719,1799
GERUA,,,4.4,55,,389,1299
Tissu,,,4.2,1200,,548,899
FABRIC FITOOR,,,,0,,831,2599
Aarika,,,4.1,88,,999,2629
MALHAAR,,,4.5,42,,683,1799
Anubhutee,,,4.2,92,,559,1599
Anubhutee,,,4.1,931,,591,1739
SWAGG INDIA,,,4.3,340,,699,1749
TANKHI,,,3.7,7,,809,1799
HERE&NOW,,,4.4,5,,559,1599
Rain & Rainbow,,,4.5,11,,897,1795
Tissu,,,4.3,628,,579,999
Cottinfab,,,4.1,233,,659,1649
Rain & Rainbow,,,4.4,251,,797,1595
Anouk,,,4.1,150,,539,1799
HERE&NOW,,,4,256,,599,1299
HERE&NOW,,,4.2,400,,439,1099
SWAGG INDIA,,,4.3,310,,699,1749
Anubhutee,,,4.2,220,,521,1739
Tissu,,,4.4,1000,,549,999
Anouk,,,3.9,772,,399,999
Anouk,,,3.9,772,,399,999
GERUA,,,4.4,41,,374,1499
Indietoga,,,4.3,424,,720,2483
Rain & Rainbow,,,3.9,35,,877,1595
TANKHI,,,4.4,58,,899,1999
Meeranshi,,,4,723,,649,2499
Sztori,,,4.8,39,,479,1599
Anubhutee,,,4.2,105,,521,1739
Tissu,,,4.2,1100,,579,999
MissKurti,,,4.6,9,,659,2199
Anouk,,,4.3,96,,524,1499
Anouk,,,3.6,1100,,359,899
Biba,,,4.9,8,,899,1799
Aarika,,,4.1,93,,999,2629
all about you,,,4,84,,934,1699
Indo Era,,,,0,,1499,4999
YASH GALLERY,,,4.5,223,,629,1399
Nayo,,,,0,,599,1199
Rain & Rainbow,,,4.1,158,,672,1495
Libas,,,4.1,17,,374,1499
Anubhutee,,,4.2,187,,591,1739
HERE&NOW,,,,0,,799,1999
HERE&NOW,,,4.2,169,,439,1099
HERE&NOW,,,4.2,271,,399,999
Fashion FRICKS,,,,0,,735,1599
Ritu Kumar,,,,0,,3600,4500
ADA,,,4.3,12,,,
Rain & Rainbow,,,3.9,58,,822,1495
SWAGG INDIA,,,4.3,274,,699,1749
Saree Swarg,,,4.4,23,,948,2370
Sangria,,,4.8,6,,512,1249
Rain & Rainbow,,,4.6,12,,877,1595
ADA,,,4.8,27,,,
Anubhutee,,,4.1,23,,511,1599
HERE&NOW,,,4.1,158,,439,1099
ADA,,,4.3,10,,,
Anouk,,,3.6,26,,299,1499
ADA,,,4.5,11,,,
Tissu,,,4.3,1100,,548,899
Rain & Rainbow,,,4.3,7,,598,1495
TORONFRAS,,,4,23,,637,2199
Sztori,,,4.3,6,,494,899
Pistaa,,,4.4,73,,699,1899
Pistaa,,,4.2,72,,650,1799
Rain & Rainbow,,,4.4,18,,762,1695
Anouk,,,4.3,32,,424,1699
Fabindia,,,,0,,1749,2499
Anubhutee,,,4.2,433,,591,1739
Sztori,,,4.6,18,,674,1499
Rain & Rainbow,,,,0,,877,1595
all about you,,,4.1,11,,539,1199
PANIT,,,4.2,489,,719,1799
AKIMIA,,,4.5,165,,767,1599
ADA,,,4.9,14,,,
Anubhutee,,,4.1,164,,591,1739
Fabindia,,,,0,,,
ADA,,,4.4,152,,,
Rain & Rainbow,,,4.4,44,,877,1595
Sangria,,,4.3,8,,899,1999
MALHAAR,,,4.5,28,,683,1799
VEDANA,,,4,86,,527,1099
Anouk,,,3.6,17,,424,1699
MALHAAR,,,4.4,87,,683,1799
Saree Swarg,,,4.1,8,,672,1770
Anubhutee,,,4.3,783,,573,1739
MALHAAR,,,4.5,59,,687,1349
ADA,,,4.5,11,,,
Bhama Couture,,,4.1,331,,839,1999
Anubhutee,,,3.8,328,,591,1739
ADA,,,4.3,20,,,
Anubhutee,,,4.1,274,,486,1739
AKIMIA,,,4.4,188,,767,1599
TANKHI,,,4.3,53,,899,1999
Saree Swarg,,,3.9,16,,855,2250
Saree Swarg,,,4.2,13,,780,1950
all about you,,,,0,,539,1199
Ritu Kumar,,,,0,,,
Fabindia,,,,0,,979,1399
Monte Carlo,,,,0,,4225,4695
HERE&NOW,,,3.9,146,,439,1099
Sztori,,,3.8,27,,449,1499
HERE&NOW,,,4.2,330,,449,999
Sztori,,,4.5,42,,759,1899
Ritu Kumar,,,,0,,4130,5900
Rain & Rainbow,,,4.6,5,,897,1795
Sangria,,,,0,,494,1499
HERE&NOW,,,3.7,59,,384,1099
Lakshita,,,4.6,5,,3055,3595
MALHAAR,,,4.3,129,,683,1799
PARAMOUNT CHIKAN,,,4.6,22,,1249,2499
PANIT,,,3.9,51,,629,1799
Anubhutee,,,3.7,109,,486,1739
Sztori,,,4.4,48,,559,1599
Pistaa,,,3.9,43,,614,1799
Sztori,,,,0,,934,1699
ADA,,,4.6,9,,,
Libas,,,4.2,57,,428,1299
Sztori,,,4.8,12,,719,1599
MALHAAR,,,4.1,28,,593,1799
Indo Era,,,4.1,55,,899,1999
Bhama Couture,,,4.1,147,,919,1999
HERE&NOW,,,4,41,,329,1099
Libas,,,4.4,40,,389,1299
Sangria,,,,0,,494,1499
Ritu Kumar,,,3.9,11,,,
Anubhutee,,,4.4,447,,486,1739
Anubhutee,,,4.3,777,,521,1739
Fabindia,,,,0,,769,1099
Rangriti,,,3.9,21,,279,699
max,,,4,12,,479,599
Indiankala4u,,,,0,,1699,4500
Saree Swarg,,,3,11,,780,1950
Rain & Rainbow,,,4.7,10,,762,1695
Sztori,,,4.4,37,,719,1599
Fabindia,,,,0,,1189,1699
TORONFRAS,,,3.6,30,,637,2199
Pistaa,,,4,23,,666,1899
Fabindia,,,,0,,1329,1899
HERE&NOW,,,4.1,151,,499,999
Saree Swarg,,,4.6,12,,948,2370
Tissu,,,4.3,9,,374,1499
Sangria,,,,0,,494,1499
Anubhutee,,,4.1,534,,521,1739
Sztori,,,4,43,,674,1499
antaran,,,4.2,119,,778,1899
Sztori,,,,0,,679,1699
Fabindia,,,,0,,909,1299
Bhama Couture,,,3.9,137,,854,1499
Pistaa,,,4,35,,614,1799
ADA,,,4.2,10,,,
ADA,,,4.3,10,,,
Sztori,,,3.9,9,,494,899
House of Pataudi,,,4.3,21,,389,1299
HERE&NOW,,,4.1,144,,399,999
TORONFRAS,,,3.8,19,,637,2199
Rain & Rainbow,,,4.4,8,,717,1595
Tissu,,,4.8,12,,599,1499
Ritu Kumar,,,,0,,4720,5900
kipek,,,4.1,142,,769,1999
MissKurti,,,,0,,659,2199
ADA,,,4.4,57,,,
Nimayaa,,,,0,,809,2999
ADA,,,4.1,9,,,
ADA,,,4.5,13,,,
Biba,,,3.8,68,,1039,2599
HERE&NOW,,,,0,,510,1599
Sztori,,,,0,,494,899
TORONFRAS,,,1.5,6,,637,2199
Prakrti,,,4.1,64,,479,1599
Anubhutee,,,4.4,5,,479,1599
Rain & Rainbow,,,,0,,847,1695
Monte Carlo,,,,0,,4225,4695
Anubhutee,,,4,22,,559,1599
Saree Swarg,,,4.6,12,,948,2370
HERE&NOW,,,3.7,37,,329,1099
ADA,,,4.7,10,,,
SWAGG INDIA,,,4.3,72,,699,1749
Sztori,,,,0,,314,899
Sztori,,,4.2,43,,559,1599
Anubhutee,,,4.1,79,,486,1739
Ritu Kumar,,,,0,,4060,5800
aayusika,,,,0,,584,1499
TANKHI,,,4.1,91,,809,1799
Biba,,,,0,,,
ADA,,,3.7,15,,,
Anubhutee,,,3.8,272,,521,1739
HERE&NOW,,,4.1,223,,539,1199
Fabindia,,,,0,,1609,2299
Rain & Rainbow,,,,0,,1207,2195
Pistaa,,,3.5,18,,666,1899
Anubhutee,,,4,73,,521,1739
Tissu,,,4.3,402,,549,999
ADA,,,,0,,,
all about you,,,4.6,7,,359,1199
ADA,,,4.6,20,,,
Cantabil,,,4.6,8,,1499,2999
MALHAAR,,,4.2,81,,683,1799
all about you,,,3.9,17,,419,1199
Rain & Rainbow,,,,0,,877,1595
Pistaa,,,4.4,41,,614,1799
Sztori,,,4.2,6,,494,899
Cottinfab,,,4.1,62,,659,1649
Cottinfab,,,4.1,42,,659,1649
kipek,,,4.2,298,,769,1999
Sztori,,,,0,,359,899
all about you,,,3.2,5,,479,1199
House of Pataudi,,,3.8,21,,324,1299
STREET 9,,,4.3,45,,434,1499
HERE&NOW,,,3.9,19,,274,1099
Tissu,,,4.3,114,,399,999
Rain & Rainbow,,,,0,,598,1495
ETIQUETTE,,,,0,,1169,1299
Tissu,,,4.4,5,,374,1499
MALHAAR,,,4.5,63,,687,1349
HERE&NOW,,,4.1,184,,384,1099
Pistaa,,,3.9,18,,650,1799
Sztori,,,,0,,594,1699
STREET 9,,,3.9,33,,550,1899
Ritu Kumar,,,,0,,,
Sangria,,,5,5,,799,1999
Sangria,,,,0,,494,1499
ADA,,,4,11,,,
Biba,,,,0,,1599,1999
Anubhutee,,,4,392,,521,1739
all about you,,,4.1,37,,419,1199
Anubhutee,,,4,130,,486,1739
Sztori,,,3.8,6,,494,899
ETIQUETTE,,,,0,,1709,1899
Rain & Rainbow,,,,0,,837,1395
Sztori,,,,0,,449,999
PARAMOUNT CHIKAN,,,,0,,1649,3298
Sztori,,,4.7,3,,549,1099
all about you,,,4.5,43,,719,1599
Sangria,,,4.2,5,,474,1899
studio rasa,,,3.6,5,,1299,2599
PARAMOUNT CHIKAN,,,,5,,839,2099
HERE&NOW,,,3.5,26,,419,1399
Shae by SASSAFRAS,,,3.7,26,,569,1899
Tissu,,,4.3,12,,494,1499
ADA,,,,0,,,
ETIQUETTE,,,,0,,1329,1899
Bhama Couture,,,4,58,,747,1699
kipek,,,4.4,22,,899,3079
Pistaa,,,4.3,16,,704,1899
Ritu Kumar,,,,0,,3120,3900
Ritu Kumar,,,,0,,,
HERE&NOW,,,4,15,,524,1499
Fabindia,,,5,7,,1539,2199
Aarika,,,4.1,51,,584,2249
Taavi,,,3.9,17,,539,2699
Pistaa,,,,0,,760,1999
all about you,,,4.6,10,,539,1199
KALINI,,,,0,,667,1669
YASH GALLERY,,,,0,,749,2999
Biba,,,,0,,1599,1999
ADA,,,,0,,,
ADA,,,4.3,10,,,
Fabindia,,,,0,,1189,1699
ADA,,,4.4,33,,,
DODO & MOA,,,,0,,766,2190
Ritu Kumar,,,,0,,,
Ritu Kumar,,,,0,,,
Pistaa,,,4.4,29,,614,1799
Sangria,,,,0,,494,1499
HERE&NOW,,,4.2,136,,519,1299
Saree Swarg,,,4.2,14,,855,2250
Rain & Rainbow,,,,0,,1207,2195
Pistaa,,,4.3,12,,666,1899
YASH GALLERY,,,4.5,65,,643,1399
Anubhutee,,,4.3,824,,591,1739
ADA,,,,0,,,
MissKurti,,,4,6,,659,2199
AKIMIA,,,4,5,,674,1499
Indo Era,,,3.6,23,,919,1999
all about you,,,4.2,17,,509,1699
kipek,,,3.7,3,,769,1999
ADA,,,4.5,6,,,
Janasya,,,3.6,17,,710,1579
MALHAAR,,,5,7,,532,3329
Sztori,,,,0,,359,899
Ritu Kumar,,,,0,,,
YASH GALLERY,,,4.4,53,,588,2559
Biba,,,,0,,2079,2599
Aarika,,,4.3,44,,488,1879
Sztori,,,,0,,639,1599
Anubhutee,,,4,7,,511,1599
ADA,,,4.6,12,,,
Biba,,,,0,,,
ADA,,,4.1,15,,,
Ritu Kumar,,,,0,,,
Tissu,,,4.1,10,,494,1499
TORONFRAS,,,3.6,5,,637,2199
all about you,,,,0,,759,1899
Pistaa,,,,0,,704,1899
Bhama Couture,,,3.7,89,,809,1799
Tissu,,,4.2,5,,374,1499
Tissu,,,4.1,27,,599,1499
KALINI,,,3.9,7,,693,1050
Tissu,,,4.4,44,,599,1499
Indiankala4u,,,4.7,6,,1699,4500
Fashion FRICKS,,,4.1,9,,624,2499
Melange by Lifestyle,,,,0,,559,699
Pistaa,,,4.4,11,,614,1799
Melange by Lifestyle,,,,0,,399,499
Rain & Rainbow,,,,0,,797,1595
AKIMIA,,,3.1,9,,809,1799
Nimayaa,,,,0,,689,2999
Nayo,,,,0,,584,1299
Saree Swarg,,,4.1,13,,780,1950
kipek,,,,0,,759,1409
MissKurti,,,4.7,6,,659,2199
FASHOR,,,,0,,2309,4899
Anubhutee,,,4.3,43,,521,1739
Biba,,,,0,,,
Saanjh,,,3.9,22,,647,1799
Saanjh,,,3.9,22,,647,1799
Sztori,,,,0,,499,999
Anubhutee,,,4,59,,504,1739
ADA,,,,0,,,
Saanjh,,,4.3,46,,647,1799
ADA,,,,0,,,
Saanjh,,,4.3,56,,647,1799
InWeave,,,,0,,379,1999
Fabindia,,,,0,,1119,1599
Fashion FRICKS,,,4.4,8,,475,1699
ADA,,,,0,,,
TANKHI,,,4.1,22,,899,1999
Saanjh,,,4.2,18,,647,1799
Pistaa,,,4.5,23,,749,1999
Rain & Rainbow,,,,0,,747,1495
ADA,,,,0,,,
Tissu,,,,0,,389,1499
Pistaa,,,4.8,8,,720,1999
ADA,,,,0,,,
Ritu Kumar,,,,0,,,
Ritu Kumar,,,,0,,,
Ritu Kumar,,,,0,,,
Fabindia,,,,0,,1399,1999
Fabindia,,,4.8,8,,1399,1999
Nayo,,,,0,,599,1199
Aarika,,,4.1,42,,649,2499
Sztori,,,4.3,37,,639,1599
Saree Swarg,,,,0,,627,1650
Ritu Kumar,,,,0,,4130,5900
Lakshita,,,,0,,1097,2195
TORONFRAS,,,,0,,699,1999
Global Desi,,,,0,,1999,2499
MALHAAR,,,4.3,40,,683,1799
Aarika,,,4.3,63,,584,2249
Tissu,,,,0,,374,1499
Tissu,,,4,7,,599,1499
Lakshita,,,4.5,34,,1347,2695
Tissu,,,,0,,374,1499
PARAMOUNT CHIKAN,,,,0,,839,2099
all about you,,,4.6,7,,764,1699
ADA,,,4.4,83,,,
Fabindia,,,,0,,1329,1899
ETIQUETTE,,,3.9,8,,1329,1899
ADA,,,4.1,19,,,
ADA,,,4.3,17,,,
ADA,,,4.3,12,,,
Vishudh,,,4,416,,507,1449
PANIT,,,,0,,629,1799
Sangria,,,,0,,494,1499
Tissu,,,4.4,8,,494,1499
PARAMOUNT CHIKAN,,,4.5,23,,1399,2799
Saree Swarg,,,3.7,15,,660,1650
Saree Swarg,,,4,34,,780,1950
Fabindia,,,,0,,1049,1499
Soch,,,4.6,5,,999,1998
Fabindia,,,,0,,1049,1499
Soch,,,4.6,5,,999,1998
Saree Swarg,,,4.2,22,,558,1470
all about you,,,,0,,359,1199
Anubhutee,,,4.3,15,,486,1739
Anubhutee,,,4.4,5,,479,1599
Sangria,,,4.1,9,,379,1899
YASH GALLERY,,,4.3,30,,624,2499
Campana,,,,0,,719,799
MALHAAR,,,4.3,19,,620,1349
Pistaa,,,,0,,749,1999
HERE&NOW,,,4.1,21,,519,1299
KALINI,,,4.5,8,,,
Fabriko,,,4.2,113,,599,1999
HERE&NOW,,,,0,,574,2299
ADA,,,,0,,,
ADA,,,4.5,14,,,
Fabindia,,,,0,,1189,1699
HERE&NOW,,,3.9,33,,299,999
Pistaa,,,,0,,720,1999
Colour Me by Melange,,,4,7,,909,1299
Saree Swarg,,,3.8,14,,588,1470
Indo Era,,,3.2,13,,1749,4999
Indo Era,,,,0,,699,1999
Prakrti,,,4.5,6,,699,1999
PARAMOUNT CHIKAN,,,4.5,15,,881,2099
MALHAAR,,,,0,,574,2299
GERUA,,,,0,,349,1399
Saree Swarg,,,,0,,588,1470
MALHAAR,,,4,35,,683,1799
Fabindia,,,,0,,,
Fabindia,,,,0,,,
SERONA FABRICS,,,3.7,32,,679,3999
Shae by SASSAFRAS,,,4.4,7,,679,1699
PARAMOUNT CHIKAN,,,4,6,,1249,2499
INDYES,,,5,6,,674,1499
MALHAAR,,,4.4,44,,620,1349
MALHAAR,,,4.3,7,,781,2299
MALHAAR,,,4.8,12,,620,1349
Cottinfab,,,4.7,18,,659,1649
Cottinfab,,,4.3,18,,659,1649
Saree Swarg,,,3.9,15,,855,2250
Pistaa,,,4,21,,650,1799
KALINI,,,,0,,689,2299
fabGLOBAL,,,4,47,,906,1649
Tissu,,,4,3,,374,1499
PARAMOUNT CHIKAN,,,,0,,839,2099
MALHAAR,,,,0,,839,2799
MALHAAR,,,5,2,,574,2299
PARAMOUNT CHIKAN,,,,0,,799,1999
Saanjh,,,4.8,6,,647,1799
Lakshita,,,,0,,3140,3695
MALHAAR,,,4.7,13,,593,1799
Cottinfab,,,4.4,13,,639,1599
Tissu,,,4.2,175,,549,999
HERE&NOW,,,4.1,410,,399,999
PARAMOUNT CHIKAN,,,,0,,1549,3098
kipek,,,4.6,49,,699,1899
all about you,,,4.3,26,,599,1499
AURELIA,,,,0,,779,1299
ADA,,,4.7,27,,,
PARAMOUNT CHIKAN,,,,0,,799,1999
Aarika,,,4.4,37,,599,2499
Tissu,,,4.4,45,,599,1499
Tissu,,,4.5,26,,599,1499
Aarika,,,4,12,,539,1999
Tissu,,,4.5,6,,599,1499
Anubhutee,,,4,32,,608,1739
Pistaa,,,,0,,619,2999
MAFE,,,2.9,16,,989,2199
theRebelinme,,,,0,,1475,2500
FAWOMENT,,,,0,,911,3037
Vishudh,,,3.9,532,,459,1149
PARAMOUNT CHIKAN,,,,0,,799,1999
ADA,,,4.3,78,,,
APPLIX STYLE,,,,0,,999,2499
Aarika,,,4.1,18,,1519,3999
Jaipur Morni,,,,0,,1599,3999
Fashion FRICKS,,,,0,,719,1599
Fashion FRICKS,,,,0,,719,1599
Fabindia,,,4,6,,1399,1999
SWAGG INDIA,,,4.2,30,,699,1749
ADA,,,3.9,7,,,
ADA,,,,0,,,
INDYA,,,,0,,950,1900
Rain & Rainbow,,,,0,,877,1595
Lakshita,,,,0,,1396,1995
MALHAAR,,,4,5,,620,1349
Cloth Haus India,,,,0,,1365,2100
Abhishti,,,,0,,1349,1499
studio rasa,,,,0,,899,1999
FNOCKS,,,,0,,899,2999
Lakshita,,,,0,,1347,2695
Fashfun,,,4.2,21,,679,1999
Aarika,,,4.2,42,,424,1249
Nimayaa,,,,0,,689,2999
TORONFRAS,,,4,5,,699,1999
Saree Swarg,,,4.3,12,,660,1650
Campana,,,,0,,674,749
Pistaa,,,4.3,11,,704,1899
ï»¿MALHAAR,,,4.5,17,,620,1349
Fabindia,,,,0,,,
shashvi,,,,0,,779,2598
YASH GALLERY,,,4.2,53,,649,2599
MALHAAR,,,,0,,699,1999
Cloth Haus India,,,,0,,1365,2100
Saanjh,,,4,21,,647,1799
Biba,,,4.4,10,,349,699
Saree Swarg,,,,0,,627,1650
STREET 9,,,4.2,20,,521,1799
Saree Swarg,,,,0,,630,2250
PARIKA CREATION,,,2.1,9,,855,2850
RAJGRANTH,,,4.2,34,,639,3999
Pistaa,,,4.1,26,,666,1899
Cottinfab,,,,0,,639,1599
PARAMOUNT CHIKAN,,,5,1,,881,2099
Saree Swarg,,,4.4,9,,627,1650
Rain & Rainbow,,,,0,,697,1395
MALHAAR,,,4.5,8,,574,2299
VEDANA,,,3.9,18,,629,1399
VASTRAMANIAA,,,4.4,5,,629,1399
DIVYANK,,,3.8,28,,499,1999
Lakshita,,,,0,,1247,2495
Cot'N Soft,,,,0,,670,1999
MALHAAR,,,,0,,532,3329
Saree Swarg,,,4.4,5,,1225,2850
Melange by Lifestyle,,,,0,,559,699
Aarika,,,4.2,37,,526,1879
max,,,,0,,,
max,,,,0,,,
Pistaa,,,3.8,26,,614,1799
TANKHI,,,,0,,809,1799
MALHAAR,,,3.7,18,,620,1349
Fab Star,,,4.1,16,,599,1199
Aprique FAB,,,4.1,37,,599,1499
Bhama Couture,,,4.4,22,,739,1999
Lakshita,,,,0,,,
Fabindia,,,,0,,1189,1699
MALHAAR,,,5,5,,574,2299
Aarika,,,4.4,50,,424,1249
Melange by Lifestyle,,,,0,,399,499
Lakshita,,,,0,,,
DIVYANK,,,4.2,13,,559,1999
CUPID,,,,0,,753,1299
Ritu Kumar,,,,0,,2250,4500
YASH GALLERY,,,4.3,7,,1185,4559
Pistaa,,,,0,,760,1999
VESICLE,,,3.2,14,,479,1599
SKYLEE,,,4.3,11,,762,2823
DIVINATION,,,4.5,26,,588,1400
V-Mart,,,4.7,17,,340,400
Fabindia,,,,0,,,
Tissu,,,,0,,374,1499
Cloth Haus India,,,,0,,2160,3600
ADA,,,,0,,,
ADA,,,,0,,,
KBZ,,,4,23,,734,2099
Biba,,,3.7,3,,449,899
Indo Era,,,3.8,10,,702,1899
SVARCHI,,,4.5,6,,701,1799
all about you,,,4.3,3,,594,1699
SWAGG INDIA,,,3.3,12,,699,1749
Indo Era,,,4.3,7,,699,1999
kipek,,,,0,,699,1599
ADA,,,,0,,,
Anubhutee,,,4.1,69,,521,1739
Rain & Rainbow,,,,0,,897,1995
HERE&NOW,,,3.6,12,,519,1299
HERE&NOW,,,,0,,574,2299
MALHAAR,,,,0,,574,2299
MALHAAR,,,,0,,574,2299
MALHAAR,,,3.8,86,,687,1349
Prakrti,,,4.1,7,,509,1699
Anubhutee,,,,0,,509,1699
INDYES,,,4.8,9,,674,1499
Saree Swarg,,,,0,,672,1770
Saree Swarg,,,,0,,672,1770
Cot'N Soft,,,3.4,5,,670,1999
Melange by Lifestyle,,,,0,,479,599
V TRADITION,,,,0,,999,1999
Indiankala4u,,,4.8,16,,999,2500
YASH GALLERY,,,4.1,33,,666,1449
PARAMOUNT CHIKAN,,,,0,,799,1999
MALHAAR,,,4.2,13,,620,1349
TORONFRAS,,,3.9,7,,1049,2999
ADA,,,3.9,14,,,
ADA,,,4.6,8,,,
ADA,,,,0,,,
ADA,,,4.9,9,,,
Azira,,,,0,,688,1299
KALINI,,,2.7,15,,512,1899
Sangria,,,,0,,989,4499
Campana,,,,0,,719,799
FAWOMENT,,,,0,,911,3037
FAWOMENT,,,,0,,911,3037
Fabindia,,,,0,,1959,2799
all about you,,,,0,,759,1899
MALHAAR,,,4.8,6,,574,2299
Pistaa,,,4.4,25,,649,1799
